strain	date	clade_membership	country	geoloc_9cat	region	sequenced_by_2cat	virus	accession	division	CLF_A_EXPOSURE	CONF_A_EXPOSURE
MA_MGH_00460	2020-04-04	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00280	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00285	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00303	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00252	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00271	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00276	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00233	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00247	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00291	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00287	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00230	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00288	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00244	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00264	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00274	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00267	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00467	2020-04-04	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00266	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00245	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00269	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00231	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00281	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00297	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00242	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00468	2020-04-04	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00294	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00270	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00239	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
NC_045512	2019-12-22		China	Asia	Asia	External	ncov				
MN996529	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT019530	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT259226	2020-01-10		China	Asia	Asia	External	ncov		Wuhan		
LR757998	2019-12-26		China	Asia	Asia	External	ncov		Wuhan		
MN996531	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT447160	2020-01-29		Thailand	Asia	Asia	External	ncov				
MT019529	2019-12-23		China	Asia	Asia	External	ncov		Wuhan		
MT019533	2020-01-01		China	Asia	Asia	External	ncov		Wuhan		
MT123290	2020-02-05		China	Asia	Asia	External	ncov		Guangzhou		
MT415320	2020-03-01		India	Asia	Asia	External	ncov				
MN996527	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT291828	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT106053	2020-02-10		USA	North America	North America	External	ncov		California		
MT019531	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT123291	2020-01-29		China	Asia	Asia	External	ncov		Guangzhou		
MT446312	2020-02-05		China	Asia	Asia	External	ncov		Guangzhou		
MT123293	2020-01-29		China	Asia	Asia	External	ncov		Guangzhou		
MT259227	2020-01-26		China	Asia	Asia	External	ncov		Wuhan		
MT259228	2020-01-26		China	Asia	Asia	External	ncov		Wuhan		
MT259231	2020-01-25		China	Asia	Asia	External	ncov		Wuhan		
MT259229	2020-01-26		China	Asia	Asia	External	ncov		Wuhan		
MT027062	2020-01-29		USA	North America	North America	External	ncov		California		
MT027063	2020-01-29		USA	North America	North America	External	ncov		California		
MT039888	2020-01-29		USA	MA	North America	External	ncov		Massachusetts		
MT365030	2020-01-31		Hong Kong	Asia	Asia	External	ncov				
MT365031	2020-02-02		Hong Kong	Asia	Asia	External	ncov				
MT072688	2020-01-13		Nepal	Asia	Asia	External	ncov				
MT066176	2020-02-05		Taiwan	Asia	Asia	External	ncov				
MT192773	2020-01-22		Viet Nam	Asia	Asia	External	ncov		Ho Chi Minh city		
MT192772	2020-01-22		Viet Nam	Asia	Asia	External	ncov		Ho Chi Minh city		
MT334522	2020-03-05		USA	North America	North America	External	ncov		Utah		
MT159705	2020-02-17		USA	North America	North America	External	ncov				
MT159722	2020-02-21		USA	North America	North America	External	ncov				
MT121215	2020-02-02		China	Asia	Asia	External	ncov		Shanghai		
MT159717	2020-02-17		USA	North America	North America	External	ncov				
MT184911	2020-02-17		USA	North America	North America	External	ncov				
MT374101	2020-02-04		Taiwan	Asia	Asia	External	ncov				
MT020781	2020-01-29		Finland	Europe	Europe	External	ncov				
MT027064	2020-01-29		USA	North America	North America	External	ncov		California		
MT159718	2020-02-18		USA	North America	North America	External	ncov				
MT184908	2020-02-21		USA	North America	North America	External	ncov				
MT184910	2020-02-18		USA	North America	North America	External	ncov				
MN996528	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT019532	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT012098	2020-01-27		India	Asia	Asia	External	ncov		Kerala State		
MT259230	2020-01-25		China	Asia	Asia	External	ncov		Wuhan		
MT450931	2020-02-02		Australia	Oceania	Oceania	External	ncov		Victoria		
MT039887	2020-01-31		USA	North America	North America	External	ncov		Wisconsin		
MT291835	2020-01-27		China	Asia	Asia	External	ncov		Beijing		
MT093631	2020-01-08		China	Asia	Asia	External	ncov				
MT007544	2020-01-25		Australia	Oceania	Oceania	External	ncov		Victoria		
MT093571	2020-02-07		Sweden	Europe	Europe	External	ncov				
MT215194	2020-02-24		Hong Kong	Asia	Asia	External	ncov				
MT276600	2020-03-08		Hong Kong	Asia	Asia	External	ncov				
MT215195	2020-02-25		Hong Kong	Asia	Asia	External	ncov				
MT447156	2020-01-23		Thailand	Asia	Asia	External	ncov				
MN994468	2020-01-22		USA	North America	North America	External	ncov		California		
MT447159	2020-01-26		Thailand	Asia	Asia	External	ncov				
MT066156	2020-01-30		Italy	Europe	Europe	External	ncov				
MT447154	2020-02-01		Thailand	Asia	Asia	External	ncov				
MT447161	2020-02-03		Thailand	Asia	Asia	External	ncov				
MT450920	2020-01-25		Australia	Oceania	Oceania	External	ncov		Victoria		
MT450919	2020-01-24		Australia	Oceania	Oceania	External	ncov		Victoria		
MN988669	2020-01-02		China	Asia	Asia	External	ncov				
MN996530	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT291827	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT291830	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT291829	2019-12-30		China	Asia	Asia	External	ncov		Wuhan		
MT114412	2020-01-23		Hong Kong	Asia	Asia	External	ncov				
MT114413	2020-01-24		Hong Kong	Asia	Asia	External	ncov				
LR757996	2020-01-01		China	Asia	Asia	External	ncov		Wuhan		
MN988668	2020-01-02		China	Asia	Asia	External	ncov				
MT159709	2020-02-20		USA	North America	North America	External	ncov				
MT159720	2020-02-21		USA	North America	North America	External	ncov				
MT365029	2020-01-30		Hong Kong	Asia	Asia	External	ncov				
MT263429	2020-03-13		USA	North America	North America	External	ncov		Illinois		
MT325592	2020-03-05		USA	North America	North America	External	ncov		Nebraska		
MT325593	2020-03-07		USA	North America	North America	External	ncov		Nebraska		
MT451503	2020-03-29		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451459	2020-03-27		Australia	Oceania	Oceania	External	ncov		Victoria		
MT385436	2020-03-25		USA	North America	North America	External	ncov		California		
MT451466	2020-03-27		Australia	Oceania	Oceania	External	ncov		Victoria		
MT334529	2020-03-10		USA	North America	North America	External	ncov		Utah		
MT450941	2020-03-10		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451003	2020-03-15		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451011	2020-03-16		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451095	2020-03-19		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451243	2020-03-20		Australia	Oceania	Oceania	External	ncov		Victoria		
MT459864	2020-03-11		Greece	Europe	Europe	External	ncov		Athens		
MT451408	2020-03-23		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451406	2020-03-22		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451714	2020-04-03		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451609	2020-04-05		Australia	Oceania	Oceania	External	ncov		Victoria		
MT253702	2020-01-21		China	Asia	Asia	External	ncov		Hangzhou		
MT253709	2020-01-21		China	Asia	Asia	External	ncov		Hangzhou		
MT253710	2020-01-21		China	Asia	Asia	External	ncov		Hangzhou		
MT253708	2020-01-21		China	Asia	Asia	External	ncov		Hangzhou		
MN988713	2020-01-21		USA	North America	North America	External	ncov		Illinois		
MT039874	2020-01-22		China	Asia	Asia	External	ncov				
MT253705	2020-01-22		China	Asia	Asia	External	ncov		Hangzhou		
MT253701	2020-01-21		China	Asia	Asia	External	ncov		Hangzhou		
MT253696	2020-01-23		China	Asia	Asia	External	ncov		Hangzhou		
MT253706	2020-01-22		China	Asia	Asia	External	ncov		Hangzhou		
MT344961	2020-03-07		USA	North America	North America	External	ncov		Nevada		
LC534419	2020-03-09		Japan	Asia	Asia	External	ncov				
MT438733	2020-04-22		USA	North America	North America	External	ncov		California		
MT438721	2020-04-22		USA	North America	North America	External	ncov		California		
MT438736	2020-04-22		USA	North America	North America	External	ncov		California		
MT438725	2020-04-22		USA	North America	North America	External	ncov		California		
MT159708	2020-02-17		USA	North America	North America	External	ncov				
MT419831	2020-02-27		USA	North America	North America	External	ncov		California		
MT419830	2020-02-27		USA	North America	North America	External	ncov		California		
MT419832	2020-02-27		USA	North America	North America	External	ncov		California		
MT118835	2020-02-23		USA	North America	North America	External	ncov		California		
MT394528	2020-03-24		USA	North America	North America	External	ncov		California		
MT394531	2020-03-31		USA	North America	North America	External	ncov		California		
MT394529	2020-03-24		USA	North America	North America	External	ncov		California		
MT394530	2020-03-31		USA	North America	North America	External	ncov		California		
MT253699	2020-01-24		China	Asia	Asia	External	ncov		Hangzhou		
MT044258	2020-01-27		USA	North America	North America	External	ncov		California		
MT444532	2020-03-14		USA	North America	North America	External	ncov				
MT188340	2020-03-07		USA	North America	North America	External	ncov		Minnesota		
MT344962	2020-03-07		USA	North America	North America	External	ncov		Minnesota		
MT457396	2020-04-29		Netherlands	Europe	Europe	External	ncov				
MT457397	2020-04-29		Netherlands	Europe	Europe	External	ncov				
MT457399	2020-04-28		Netherlands	Europe	Europe	External	ncov				
MT457395	2020-04-29		Netherlands	Europe	Europe	External	ncov				
MT457394	2020-04-29		Netherlands	Europe	Europe	External	ncov				
MT457398	2020-04-25		Netherlands	Europe	Europe	External	ncov				
MT447155	2020-01-08		Thailand	Asia	Asia	External	ncov				
MT447157	2020-01-25		Thailand	Asia	Asia	External	ncov				
MT192759	2020-01-25		Taiwan	Asia	Asia	External	ncov				
MT253703	2020-01-25		China	Asia	Asia	External	ncov		Hangzhou		
MT253707	2020-01-25		China	Asia	Asia	External	ncov		Hangzhou		
MT253704	2020-01-25		China	Asia	Asia	External	ncov		Hangzhou		
MT253700	2020-01-25		China	Asia	Asia	External	ncov		Hangzhou		
MT159707	2020-02-17		USA	North America	North America	External	ncov				
MT159706	2020-02-17		USA	North America	North America	External	ncov				
MT039873	2020-01-20		China	Asia	Asia	External	ncov		Hangzhou		
MT434813	2020-03-02		USA	NY	North America	External	ncov		New York		
MT419859	2020-03-08		USA	North America	North America	External	ncov		California		
MT419842	2020-03-04		USA	North America	North America	External	ncov		California		
MT429188	2020-04-07		USA	North America	North America	External	ncov		Wisconsin		
MT419858	2020-03-05		USA	North America	North America	External	ncov		California		
MT419841	2020-02-29		USA	North America	North America	External	ncov		California		
MT419854	2020-03-02		USA	North America	North America	External	ncov		California		
MT253698	2020-01-23		China	Asia	Asia	External	ncov		Hangzhou		
MT253697	2020-01-23		China	Asia	Asia	External	ncov		Hangzhou		
MT159710	2020-02-17		USA	North America	North America	External	ncov				
MT451006	2020-03-16		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451012	2020-03-16		Australia	Oceania	Oceania	External	ncov		Victoria		
MT184907	2020-02-18		USA	North America	North America	External	ncov				
MT159711	2020-02-20		USA	North America	North America	External	ncov				
MT451217	2020-03-24		Australia	Oceania	Oceania	External	ncov		Victoria		
MT385458	2020-03-23		USA	North America	North America	External	ncov		California		
MT159721	2020-02-21		USA	North America	North America	External	ncov				
MT184909	2020-02-21		USA	North America	North America	External	ncov				
MT276324	2020-02-26		USA	North America	North America	External	ncov		California		
MT459881	2020-03-14		Greece	Europe	Europe	External	ncov		Athens		
MT459882	2020-03-15		Greece	Europe	Europe	External	ncov		Athens		
MT385430	2020-03-28		USA	North America	North America	External	ncov		California		
MT460130	2020-04-30		USA	North America	North America	External	ncov		California		
MT385431	2020-03-18		USA	North America	North America	External	ncov		California		
MT449639	2020-04-04		USA	North America	North America	External	ncov		California		
MT449648	2020-04-07		USA	North America	North America	External	ncov		California		
MT449644	2020-04-06		USA	North America	North America	External	ncov		California		
MT438759	2020-04-22		USA	North America	North America	External	ncov		California		
MT438752	2020-04-22		USA	North America	North America	External	ncov		California		
MT438760	2020-04-22		USA	North America	North America	External	ncov		California		
MT438755	2020-04-22		USA	North America	North America	External	ncov		California		
MT438751	2020-04-22		USA	North America	North America	External	ncov		California		
MT438757	2020-04-22		USA	North America	North America	External	ncov		California		
MT449643	2020-04-04		USA	North America	North America	External	ncov		California		
MT449670	2020-04-26		USA	North America	North America	External	ncov		California		
MT438754	2020-04-22		USA	North America	North America	External	ncov		California		
MT438753	2020-04-22		USA	North America	North America	External	ncov		California		
MT449647	2020-04-07		USA	North America	North America	External	ncov		California		
MT438756	2020-04-22		USA	North America	North America	External	ncov		California		
MT438749	2020-04-22		USA	North America	North America	External	ncov		California		
MT449641	2020-04-04		USA	North America	North America	External	ncov		California		
MT449646	2020-04-05		USA	North America	North America	External	ncov		California		
MT438758	2020-04-22		USA	North America	North America	External	ncov		California		
MT449642	2020-04-05		USA	North America	North America	External	ncov		California		
MT438750	2020-04-22		USA	North America	North America	External	ncov		California		
MT159715	2020-02-24		USA	North America	North America	External	ncov				
MT334552	2020-03-23		USA	North America	North America	External	ncov		Utah		
MT450975	2020-03-13		Australia	Oceania	Oceania	External	ncov		Victoria		
MT159716	2020-02-24		USA	North America	North America	External	ncov				
MT396241	2020-03-06		China	Asia	Asia	External	ncov				
MT385425	2020-03-25		USA	North America	North America	External	ncov		California		
MT449658	2020-04-16		USA	North America	North America	External	ncov		California		
MT449673	2020-04-23		USA	North America	North America	External	ncov		California		
MT449654	2020-04-11		USA	North America	North America	External	ncov		California		
MT449657	2020-04-16		USA	North America	North America	External	ncov		California		
MT159719	2020-02-18		USA	North America	North America	External	ncov				
MT385460	2020-03-28		USA	North America	North America	External	ncov		California		
MT449677	2020-04-04		USA	North America	North America	External	ncov		California		
MT449678	2020-04-05		USA	North America	North America	External	ncov		California		
MT449669	2020-04-07		USA	North America	North America	External	ncov		California		
MT460091	2020-05-01		USA	North America	North America	External	ncov		California		
MT449656	2020-04-13		USA	North America	North America	External	ncov		California		
MT449675	2020-04-07		USA	North America	North America	External	ncov		California		
MT449638	2020-04-04		USA	North America	North America	External	ncov		California		
MT449655	2020-04-12		USA	North America	North America	External	ncov		California		
MT449676	2020-04-08		USA	North America	North America	External	ncov		California		
MT438732	2020-04-22		USA	North America	North America	External	ncov		California		
MT449650	2020-04-08		USA	North America	North America	External	ncov		California		
MT449652	2020-04-09		USA	North America	North America	External	ncov		California		
MT449637	2020-03-31		USA	North America	North America	External	ncov		California		
MT449668	2020-04-07		USA	North America	North America	External	ncov		California		
MT449679	2020-04-05		USA	North America	North America	External	ncov		California		
MT460092	2020-05-01		USA	North America	North America	External	ncov		California		
MT460090	2020-05-01		USA	North America	North America	External	ncov		California		
MT449651	2020-04-08		USA	North America	North America	External	ncov		California		
MT449667	2020-04-07		USA	North America	North America	External	ncov		California		
MT449640	2020-04-03		USA	North America	North America	External	ncov		California		
MT449674	2020-04-09		USA	North America	North America	External	ncov		California		
MT159714	2020-02-18		USA	North America	North America	External	ncov				
MT304483	2020-03-01		USA	North America	North America	External	ncov		Illinois		
MT304482	2020-03-01		USA	North America	North America	External	ncov		Illinois		
MT159713	2020-02-18		USA	North America	North America	External	ncov				
MT262993	2020-03-12		Pakistan	Europe	Europe	External	ncov		KPK		
MT449659	2020-04-21		USA	North America	North America	External	ncov		California		
MT449662	2020-04-23		USA	North America	North America	External	ncov		California		
MT449663	2020-04-21		USA	North America	North America	External	ncov		California		
MT449664	2020-04-21		USA	North America	North America	External	ncov		California		
MT438744	2020-04-22		USA	North America	North America	External	ncov		California		
MT438748	2020-04-22		USA	North America	North America	External	ncov		California		
MT460089	2020-05-01		USA	North America	North America	External	ncov		California		
MT449672	2020-04-25		USA	North America	North America	External	ncov		California		
MT438738	2020-04-22		USA	North America	North America	External	ncov		California		
MT438747	2020-04-22		USA	North America	North America	External	ncov		California		
MT438739	2020-04-22		USA	North America	North America	External	ncov		California		
MT438742	2020-04-22		USA	North America	North America	External	ncov		California		
MT438743	2020-04-22		USA	North America	North America	External	ncov		California		
MT438741	2020-04-22		USA	North America	North America	External	ncov		California		
MT438737	2020-04-22		USA	North America	North America	External	ncov		California		
MT438719	2020-04-22		USA	North America	North America	External	ncov		California		
MT438718	2020-04-22		USA	North America	North America	External	ncov		California		
MT438734	2020-04-22		USA	North America	North America	External	ncov		California		
MT438729	2020-04-22		USA	North America	North America	External	ncov		California		
MT438720	2020-04-22		USA	North America	North America	External	ncov		California		
MT438735	2020-04-22		USA	North America	North America	External	ncov		California		
MT438740	2020-04-22		USA	North America	North America	External	ncov		California		
MT438728	2020-04-22		USA	North America	North America	External	ncov		California		
MT449665	2020-04-21		USA	North America	North America	External	ncov		California		
MT438731	2020-04-22		USA	North America	North America	External	ncov		California		
MT438727	2020-04-22		USA	North America	North America	External	ncov		California		
MT449666	2020-04-22		USA	North America	North America	External	ncov		California		
MT438723	2020-04-22		USA	North America	North America	External	ncov		California		
MT438746	2020-04-22		USA	North America	North America	External	ncov		California		
MT438722	2020-04-22		USA	North America	North America	External	ncov		California		
MT438724	2020-04-22		USA	North America	North America	External	ncov		California		
MT438730	2020-04-22		USA	North America	North America	External	ncov		California		
LC528232	2020-02-10					External	ncov				
LC528233	2020-02-10					External	ncov				
MT240479	2020-03-04		Pakistan	Europe	Europe	External	ncov		Gilgit		
MT320891	2020-03-09		Iran	Europe	Europe	External	ncov				
MT447177	2020-03-26		Iran	Europe	Europe	External	ncov				
MT371047	2020-03-16		Sri Lanka	Asia	Asia	External	ncov				
MT326035	2020-03-23		USA	North America	North America	External	ncov				
MT461626	2020-03-31		USA	WA	North America	External	ncov		Washington		
MT450949	2020-03-10		Australia	Oceania	Oceania	External	ncov		Victoria		
MT370517	2020-02-27		Taiwan	Asia	Asia	External	ncov				
MT370518	2020-02-27		Taiwan	Asia	Asia	External	ncov				
MT374103	2020-03-09		Taiwan	Asia	Asia	External	ncov				
MT370516	2020-02-26		Taiwan	Asia	Asia	External	ncov				
MT374102	2020-03-05		Taiwan	Asia	Asia	External	ncov				
MT374104	2020-03-10		Taiwan	Asia	Asia	External	ncov				
MT428551	2020-03-20		Kazakhstan	Europe	Europe	External	ncov				
MT450921	2020-03-03		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451590	2020-04-04		Australia	Oceania	Oceania	External	ncov		Victoria		
MT370904	2020-02-29		USA	NY	North America	External	ncov		New York		
MT374106	2020-03-13		Taiwan	Asia	Asia	External	ncov				
MT374107	2020-03-14		Taiwan	Asia	Asia	External	ncov				
MT439255	2020-03-19		USA	North America	North America	External	ncov		Michigan		
MT412159	2020-03-19		USA	North America	North America	External	ncov		Michigan		
MT451523	2020-03-30		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451681	2020-03-31		Australia	Oceania	Oceania	External	ncov		Victoria		
MT365028	2020-01-24		Hong Kong	Asia	Asia	External	ncov				
MT114414	2020-01-24		Hong Kong	Asia	Asia	External	ncov				
MT114415	2020-01-27		Hong Kong	Asia	Asia	External	ncov				
MT327745	2020-03-17		Turkey	Europe	Europe	External	ncov				
MT450945	2020-03-10		Australia	Oceania	Oceania	External	ncov		Victoria		
MT450980	2020-03-13		Australia	Oceania	Oceania	External	ncov		Victoria		
MT450973	2020-03-12		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451007	2020-03-16		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451479	2020-03-29		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451477	2020-03-27		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451476	2020-03-27		Australia	Oceania	Oceania	External	ncov		Victoria		
MT451616	2020-04-06		Australia	Oceania	Oceania	External	ncov		Victoria		
